direction,AUC,AUPR,LogAUC,recall_1,recall_5,recall_10,recall_25,recall_50,EF_1,EF_5,EF_10,EF_25EF_50
halve_1_7,1.0,1.0,0.08611940808417112,1.0,1.0,1.0,1.0,1.0,0.019801980198019802,0.100990099009901,0.201980198019802,0.5069306930693069,1.0
pathway49_45_1,1.0,1.0,0.08444718656797362,1.0,1.0,1.0,1.0,1.0,0.019417475728155338,0.09902912621359224,0.19805825242718447,0.4970873786407767,0.9941747572815534
pathway19_135_4,1.0,1.0,0.08347466618523304,1.0,1.0,1.0,1.0,1.0,0.019193857965451054,0.09788867562380038,0.19577735124760076,0.491362763915547,0.982725527831094
pathway19_75_0,1.0,1.0,0.08821562085701098,1.0,1.0,1.0,1.0,1.0,0.02028397565922921,0.10344827586206896,0.20689655172413793,0.5192697768762677,1.0
pathway94_30_0,1.0,1.0,0.08646183117794516,1.0,1.0,1.0,1.0,1.0,0.019880715705765408,0.10139165009940358,0.20278330019880716,0.5089463220675944,1.0
pathway19_60_7,1.0,1.0,0.08561082890257168,1.0,1.0,1.0,1.0,1.0,0.01968503937007874,0.10039370078740158,0.20078740157480315,0.5039370078740157,1.0
pathway19_135_0,1.0,1.0,0.08315545140058588,1.0,1.0,1.0,1.0,1.0,0.019120458891013385,0.09751434034416825,0.1950286806883365,0.4894837476099426,0.9789674952198852
pathway19_30_2,1.0,1.0,0.08098752529330802,1.0,1.0,1.0,1.0,1.0,0.0186219739292365,0.09497206703910614,0.18994413407821228,0.4767225325884544,0.9534450651769087
pathway19_15_1,1.0,0.9999999999999999,0.08594921162550676,1.0,1.0,1.0,1.0,1.0,0.019762845849802372,0.1007905138339921,0.2015810276679842,0.5059288537549407,1.0
pathway19_105_1,1.0,1.0,0.08768205863408551,1.0,1.0,1.0,1.0,1.0,0.020161290322580645,0.1028225806451613,0.2056451612903226,0.5161290322580645,1.0
btd,1.0,1.0,0.08315545140058588,1.0,1.0,1.0,1.0,1.0,0.019120458891013385,0.09751434034416825,0.1950286806883365,0.4894837476099426,0.9789674952198852
pathway19_120_5,1.0,1.0,0.08283866872858366,1.0,1.0,1.0,1.0,1.0,0.01904761904761905,0.09714285714285714,0.19428571428571428,0.4876190476190476,0.9752380952380952
pathway94_45_5,1.0,0.9999999999999999,0.07994540640166621,1.0,1.0,1.0,1.0,1.0,0.01838235294117647,0.09375,0.1875,0.47058823529411764,0.9411764705882353
pathway19_60_6,1.0,1.0,0.08561082890257168,1.0,1.0,1.0,1.0,1.0,0.01968503937007874,0.10039370078740158,0.20078740157480315,0.5039370078740157,1.0
dtb,1.0,1.0,0.0817486862453128,1.0,1.0,1.0,1.0,1.0,0.018796992481203006,0.09586466165413533,0.19172932330827067,0.48120300751879697,0.9624060150375939
halve_2_1,1.0,1.0,0.0846114807052654,1.0,1.0,1.0,1.0,1.0,0.019455252918287938,0.09922178988326848,0.19844357976653695,0.4980544747081712,0.9961089494163424
pathway19_135_8,1.0,1.0,0.08363519438943541,1.0,1.0,1.0,1.0,1.0,0.019230769230769232,0.09807692307692308,0.19615384615384615,0.49230769230769234,0.9846153846153847
pathway19_75_3,1.0,1.0,0.0847764153655096,1.0,1.0,1.0,1.0,1.0,0.01949317738791423,0.09941520467836257,0.19883040935672514,0.49902534113060426,0.9980506822612085
pathway19_15_7,1.0,1.0,0.0846114807052654,1.0,1.0,1.0,1.0,1.0,0.019455252918287938,0.09922178988326848,0.19844357976653695,0.4980544747081712,0.9961089494163424
pathway19_105_3,1.0,1.0,0.08009263551106154,1.0,1.0,1.0,1.0,1.0,0.01841620626151013,0.09392265193370165,0.1878453038674033,0.4714548802946593,0.9429097605893186
pathway19_15_4,1.0,1.0,0.08347466618523304,1.0,1.0,1.0,1.0,1.0,0.019193857965451054,0.09788867562380038,0.19577735124760076,0.491362763915547,0.982725527831094
pathway49_30_8,1.0,1.0,0.08821562085701098,1.0,1.0,1.0,1.0,1.0,0.02028397565922921,0.10344827586206896,0.20689655172413793,0.5192697768762677,1.0
pathway94_15_8,1.0,0.9999999999999999,0.08967072388145653,1.0,1.0,1.0,1.0,1.0,0.020618556701030927,0.10515463917525773,0.21030927835051547,0.5278350515463918,1.0
donate_2_middle,1.0,1.0,0.08363519438943541,1.0,1.0,1.0,1.0,1.0,0.019230769230769232,0.09807692307692308,0.19615384615384615,0.49230769230769234,0.9846153846153847
pathway49_45_8,1.0,1.0,0.08363519438943541,1.0,1.0,1.0,1.0,1.0,0.019230769230769232,0.09807692307692308,0.19615384615384615,0.49230769230769234,0.9846153846153847
pathway19_75_9,1.0,1.0,0.08190263857345839,1.0,1.0,1.0,1.0,1.0,0.018832391713747645,0.096045197740113,0.192090395480226,0.4821092278719397,0.9642184557438794
pathway19_75_7,1.0,1.0,0.0846114807052654,1.0,1.0,1.0,1.0,1.0,0.019455252918287938,0.09922178988326848,0.19844357976653695,0.4980544747081712,0.9961089494163424
pathway19_105_4,1.0,1.0,0.08205717185378568,1.0,1.0,1.0,1.0,1.0,0.018867924528301886,0.09622641509433963,0.19245283018867926,0.4830188679245283,0.9660377358490566
pathway49_15_2,1.0,1.0,0.0846114807052654,1.0,1.0,1.0,1.0,1.0,0.019455252918287938,0.09922178988326848,0.19844357976653695,0.4980544747081712,0.9961089494163424
pathway19_135_7,1.0,1.0,0.08663406590140721,1.0,1.0,1.0,1.0,1.0,0.0199203187250996,0.10159362549800798,0.20318725099601595,0.5099601593625498,1.0
halve_2_8,1.0,1.0,0.08379634119943433,1.0,1.0,1.0,1.0,1.0,0.019267822736030827,0.09826589595375723,0.19653179190751446,0.4932562620423892,0.9865125240847784
pathway94_30_8,1.0,1.0,0.08646183117794516,1.0,1.0,1.0,1.0,1.0,0.019880715705765408,0.10139165009940358,0.20278330019880716,0.5089463220675944,1.0
pathway94_15_6,1.0,1.0,0.08611940808417112,1.0,1.0,1.0,1.0,1.0,0.019801980198019802,0.100990099009901,0.201980198019802,0.5069306930693069,1.0
pathway94_45_6,1.0,1.0,0.08379634119943433,1.0,1.0,1.0,1.0,1.0,0.019267822736030827,0.09826589595375723,0.19653179190751446,0.4932562620423892,0.9865125240847784
pathway49_30_2,1.0,1.0,0.08510822129649005,1.0,1.0,1.0,1.0,1.0,0.019569471624266144,0.09980430528375733,0.19960861056751467,0.5009784735812133,1.0
halve_1_4,1.0,1.0,0.08698060216501283,1.0,1.0,1.0,1.0,1.0,0.02,0.102,0.204,0.512,1.0
pathway19_120_3,1.0,1.0,0.08680698818863555,1.0,1.0,1.0,1.0,1.0,0.01996007984031936,0.10179640718562874,0.20359281437125748,0.5109780439121756,1.0
pathway49_75_2,1.0,1.0,0.08561082890257168,1.0,1.0,1.0,1.0,1.0,0.01968503937007874,0.10039370078740158,0.20078740157480315,0.5039370078740157,1.0
pathway49_30_3,1.0,1.0,0.08663406590140721,1.0,1.0,1.0,1.0,1.0,0.0199203187250996,0.10159362549800798,0.20318725099601595,0.5099601593625498,1.0
pathway19_105_8,1.0,0.9999999999999999,0.08985599397212068,1.0,1.0,1.0,1.0,1.0,0.02066115702479339,0.10537190082644628,0.21074380165289255,0.5289256198347108,1.0
pathway94_30_6,1.0,1.0,0.08363519438943541,1.0,1.0,1.0,1.0,1.0,0.019230769230769232,0.09807692307692308,0.19615384615384615,0.49230769230769234,0.9846153846153847
halve_1_3,1.0,1.0,0.08129028239720824,1.0,1.0,1.0,1.0,1.0,0.018691588785046728,0.09532710280373832,0.19065420560747665,0.4785046728971963,0.9570093457943926
pathway19_75_8,1.0,1.0,0.0817486862453128,1.0,1.0,1.0,1.0,1.0,0.018796992481203006,0.09586466165413533,0.19172932330827067,0.48120300751879697,0.9624060150375939
pathway19_15_9,1.0,1.0,0.08252429047913931,1.0,1.0,1.0,1.0,1.0,0.018975332068311195,0.0967741935483871,0.1935483870967742,0.4857685009487666,0.9715370018975332
