Epoch,ACC,AUC,Precision,Recall,AUPR,F1,LOSS
60,1.0,1.0,1.0,1.0,1.0,1.0,0.017216049179978654
61,1.0,1.0,1.0,1.0,1.0,1.0,0.018313502334649456
62,1.0,1.0,1.0,1.0,1.0,1.0,0.019065130965259414
63,1.0,1.0,1.0,1.0,1.0,1.0,0.018551222528230937
64,1.0,1.0,1.0,1.0,1.0,1.0,0.018036370922345668
65,1.0,1.0,1.0,1.0,1.0,1.0,0.017869070750521132
66,1.0,1.0,1.0,1.0,1.0,1.0,0.017510507156771382
67,1.0,1.0,1.0,1.0,1.0,1.0,0.017453431191711388
68,1.0,1.0,1.0,1.0,1.0,1.0,0.017406341913783763
69,1.0,1.0,1.0,1.0,1.0,1.0,0.01778189571302846
70,1.0,1.0,1.0,1.0,1.0,1.0,0.0186912621461488
71,1.0,1.0,1.0,1.0,1.0,1.0,0.018658551870657902
